activationBonusAchieved,autoChargeStationRobot1,autoChargeStationRobot2,autoChargeStationRobot3,autoDocked,autoMobilityScore,autoNumPieces,autoPieceScore,autoPoints,chargeStationPoints,chargeStationState,team1,team2,team3,teleopPoints
false,None,None,None,false,6,4,22,28,20,Level,frc4728,frc2451,frc3042,72
false,None,None,Docked,true,6,4,19,37,42,Level,frc4728,frc2451,frc3042,76
false,None,None,Docked,true,3,3,16,31,42,Level,frc4728,frc2451,frc3042,79
true,Docked,None,None,true,6,2,12,30,32,Level,frc7021,frc3082,frc2143,52
true,None,None,None,false,3,3,15,18,30,NotLevel,frc3130,frc2654,frc5232,67
false,None,None,None,false,6,3,18,24,12,Level,frc2451,frc6166,frc3100,49
true,None,None,None,false,9,3,18,27,30,NotLevel,frc5464,frc6628,frc2451,59
true,None,None,Docked,true,6,2,12,26,26,NotLevel,frc2451,frc3883,frc3751,66
true,None,None,None,false,3,4,20,23,30,Level,frc4009,frc7028,frc2450,71
false,None,None,None,false,3,3,15,18,20,NotLevel,frc6709,frc2451,frc4728,74
false,Docked,None,None,true,6,3,16,34,24,Level,frc4693,frc2451,frc6749,49
false,None,None,None,false,9,2,10,19,20,NotLevel,frc2530,frc3042,frc6628,51
true,None,Docked,None,true,6,4,22,40,32,Level,frc4728,frc3042,frc2143,69
false,None,Docked,None,true,6,1,6,24,18,Level,frc3723,frc2987,frc3751,55
true,None,None,Docked,true,9,3,18,39,32,Level,frc2143,frc7028,frc2451,73
true,None,None,None,false,3,2,7,10,30,Level,frc6709,frc2472,frc4198,48
false,None,None,Docked,true,3,2,12,27,42,Level,frc4728,frc2451,frc3042,82
false,None,None,Docked,true,6,4,22,40,42,Level,frc4728,frc2451,frc3042,89
false,None,Docked,None,true,9,2,12,29,28,NotLevel,frc2143,frc3926,frc3130,54
false,None,Docked,None,true,3,3,12,27,42,Level,frc5232,frc876,frc4693,82
false,None,Docked,None,true,9,3,18,39,42,Level,frc7021,frc3883,frc2239,82
